City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Tabou,CI,4.42,-7.35,75.65,79,73,7.94,broken clouds,0.0,0
1,Yellowknife,CA,62.46,-114.35,68.0,55,75,5.82,broken clouds,0.0,0
2,Kardla,EE,59.0,22.75,59.0,80,0,8.99,clear sky,0.0,0
3,Sistranda,NO,63.73,8.83,51.8,87,75,10.29,shower rain,0.0,0
4,Port Alfred,ZA,-33.59,26.89,57.67,43,0,13.94,clear sky,0.0,0
5,Werda,BW,-25.27,23.28,48.09,40,0,8.32,clear sky,0.0,0
6,Port Elizabeth,ZA,-33.92,25.57,57.2,67,0,6.93,clear sky,0.0,0
7,Avarua,CK,-21.21,-159.78,69.8,88,97,5.82,light rain,0.0,0
8,Ulladulla,AU,-35.35,150.47,48.99,100,75,8.05,broken clouds,0.0,0
9,Busselton,AU,-33.65,115.33,55.99,83,2,12.93,clear sky,0.0,0
10,Ulagan,RU,50.63,87.96,52.97,80,100,0.43,overcast clouds,0.0,0
11,Rikitea,PF,-23.12,-134.97,71.42,70,0,16.98,clear sky,0.0,0
12,Fitchburg,US,42.58,-71.8,88.0,45,40,11.41,scattered clouds,0.0,0
13,Cabadiangan,PH,9.75,122.47,77.07,86,100,2.86,overcast clouds,0.0,0
14,Krabi,TH,8.07,98.91,77.0,100,40,2.24,scattered clouds,0.0,0
15,Bluff,NZ,-46.6,168.33,39.0,83,85,3.0,overcast clouds,0.0,0
16,Tiksi,RU,71.69,128.87,58.44,79,100,5.06,overcast clouds,0.0,0
17,Aklavik,CA,68.22,-135.01,53.6,76,75,4.7,broken clouds,0.0,0
18,Narsaq,GL,60.92,-46.05,60.8,59,100,5.82,light rain,0.24,0
19,Ziarat,PK,30.38,67.73,64.15,65,0,5.48,light rain,0.33,0
20,Talnakh,RU,69.49,88.4,53.6,93,75,11.18,broken clouds,0.0,0
21,Ushuaia,AR,-54.8,-68.3,35.6,94,40,16.11,scattered clouds,0.0,0
22,Barrow,US,71.29,-156.79,35.6,93,90,6.93,overcast clouds,0.0,0
23,Sorland,NO,67.67,12.69,55.4,71,20,5.82,few clouds,0.0,0
24,Paso De Carrasco,UY,-34.86,-56.05,50.0,49,87,9.17,overcast clouds,0.0,0
25,Airai,TL,-8.93,125.41,55.85,99,46,4.16,scattered clouds,0.0,0
26,Axim,GH,4.87,-2.24,74.41,88,63,7.2,broken clouds,0.0,0
27,Bilibino,RU,68.05,166.44,58.12,86,95,3.85,light rain,0.25,0
28,Aswan,EG,24.09,32.91,90.66,16,26,14.63,scattered clouds,0.0,0
29,Mollendo,PE,-17.02,-72.01,61.41,71,57,6.51,broken clouds,0.0,0
30,Cape Town,ZA,-33.93,18.42,59.0,54,20,23.04,few clouds,0.0,0
31,Hithadhoo,MV,-0.6,73.08,84.78,71,30,7.09,scattered clouds,0.0,0
32,Port Lincoln,AU,-34.73,135.87,52.05,83,3,3.13,clear sky,0.0,0
33,Padang,ID,-0.95,100.35,77.38,80,69,4.9,light rain,0.13,0
34,Anadyr,RU,64.75,177.48,57.2,62,88,11.18,overcast clouds,0.0,0
35,Qaanaaq,GL,77.48,-69.36,46.54,60,100,3.67,overcast clouds,0.0,0
36,Castro,BR,-24.79,-50.01,65.75,67,96,8.14,overcast clouds,0.0,0
37,Bredasdorp,ZA,-34.53,20.04,50.0,71,0,8.05,clear sky,0.0,0
38,Hami,CN,42.8,93.45,77.13,35,52,6.91,broken clouds,0.0,0
39,Upernavik,GL,72.79,-56.15,41.97,85,100,10.04,overcast clouds,0.0,0
40,Bambous Virieux,MU,-20.34,57.76,72.0,68,40,13.87,scattered clouds,0.0,0
41,Vaini,TO,-21.2,-175.2,69.8,88,75,12.75,broken clouds,0.0,0
42,Pacifica,US,37.61,-122.49,75.0,46,1,11.41,clear sky,0.0,0
43,Adrar,MR,20.5,-10.07,97.43,27,50,8.63,scattered clouds,0.0,0
44,Nanortalik,GL,60.14,-45.24,47.52,90,100,10.54,moderate rain,1.12,0
45,East London,ZA,-33.02,27.91,59.94,57,0,20.27,clear sky,0.0,0
46,Pangody,RU,65.85,74.49,56.75,76,100,3.11,light rain,0.12,0
47,La Joya,MX,18.67,-99.47,89.01,51,20,4.7,few clouds,0.0,0
48,Labuhan,ID,-6.88,112.21,76.53,85,98,7.56,overcast clouds,0.0,0
49,Tasiilaq,GL,65.61,-37.64,41.0,86,0,12.75,clear sky,0.0,0
50,Kodiak,US,57.79,-152.41,55.4,82,90,6.93,overcast clouds,0.0,0
51,Opuwo,NA,-18.06,13.84,56.12,39,0,5.95,clear sky,0.0,0
52,Raton,US,36.9,-104.44,86.0,35,1,9.17,clear sky,0.0,0
53,Lompoc,US,34.64,-120.46,79.0,60,0,12.75,clear sky,0.0,0
54,Deputatskiy,RU,69.3,139.9,60.62,61,65,3.56,broken clouds,0.0,0
55,Alta Floresta,BR,-9.88,-56.09,94.21,28,0,1.66,clear sky,0.0,0
56,Kerema,PG,-7.96,145.78,76.37,87,96,7.31,overcast clouds,0.0,0
57,Careiro Da Varzea,BR,-3.2,-59.81,91.4,62,40,4.7,scattered clouds,0.0,0
58,Kudahuvadhoo,MV,2.67,72.89,84.24,66,100,3.13,overcast clouds,0.0,0
59,Puerto Maldonado,PE,-12.6,-69.18,84.2,70,75,5.82,broken clouds,0.0,0
60,Mehamn,NO,71.04,27.85,46.4,87,1,9.17,clear sky,0.0,0
61,Cristalina,BR,-16.77,-47.61,76.19,34,77,6.02,broken clouds,0.0,0
62,Nizhniy Baskunchak,RU,48.22,46.83,84.96,35,15,17.38,few clouds,0.0,0
63,Jamestown,US,42.1,-79.24,75.99,53,1,17.22,clear sky,0.0,0
64,Auchi,NG,7.07,6.27,72.64,98,100,5.08,overcast clouds,0.0,0
65,Iqaluit,CA,63.75,-68.51,62.6,55,75,20.8,shower rain,0.0,0
66,Boyolangu,ID,-8.12,111.89,72.12,90,99,1.28,overcast clouds,0.0,0
67,Kruisfontein,ZA,-34.0,24.73,52.74,40,0,7.67,clear sky,0.0,0
68,Nabire,ID,-3.37,135.48,75.9,85,100,3.83,overcast clouds,0.0,0
69,Ahipara,NZ,-35.17,173.17,55.54,89,9,6.91,light rain,0.12,0
70,Mataura,NZ,-46.19,168.86,39.0,83,88,3.0,overcast clouds,0.0,0
71,Khatanga,RU,71.97,102.5,54.75,80,100,15.57,overcast clouds,0.0,0
72,Atuona,PF,-9.8,-139.03,80.47,74,0,22.3,clear sky,0.0,0
73,Verkhoyansk,RU,67.54,133.38,69.01,75,2,2.13,clear sky,0.0,0
74,Port Macquarie,AU,-31.43,152.92,44.01,93,1,7.2,clear sky,0.0,0
75,Mar Del Plata,AR,-38.0,-57.56,48.99,42,20,17.22,few clouds,0.0,0
76,Tuktoyaktuk,CA,69.45,-133.04,57.2,58,40,6.93,scattered clouds,0.0,0
77,Kapaa,US,22.08,-159.32,82.0,69,40,13.87,light rain,0.25,0
78,New Norfolk,AU,-42.78,147.06,37.99,91,0,2.3,clear sky,0.0,0
79,Karakulino,RU,56.01,53.71,62.96,81,0,0.34,clear sky,0.0,0
80,Latur,IN,18.4,76.58,75.52,84,97,14.14,overcast clouds,0.0,0
81,Mount Pleasant,US,32.79,-79.86,91.99,66,75,8.05,broken clouds,0.0,0
82,Winslow,US,35.02,-110.7,100.4,12,1,3.36,clear sky,0.0,0
83,Lata,PT,40.16,-8.33,86.0,42,0,5.01,clear sky,0.0,0
84,Hilo,US,19.73,-155.09,78.8,65,90,5.12,overcast clouds,0.0,0
85,Wanaka,NZ,-44.7,169.15,34.0,85,51,1.99,broken clouds,0.0,0
86,Karaman,TR,37.08,33.25,68.67,32,0,5.48,clear sky,0.0,0
87,Hasaki,JP,35.73,140.83,64.4,100,75,6.93,mist,0.0,0
88,Barcelona,ES,41.39,2.16,78.01,65,20,4.7,few clouds,0.0,0
89,Cap Malheureux,MU,-19.98,57.61,72.0,70,0,7.0,clear sky,0.0,0
90,Beyneu,KZ,45.32,55.2,86.77,21,0,13.89,clear sky,0.0,0
91,Hermanus,ZA,-34.42,19.23,55.99,59,0,15.01,clear sky,0.0,0
92,Ormara,PK,25.21,64.64,84.63,78,100,14.18,overcast clouds,0.0,0
93,Saurimo,AO,-9.66,20.39,69.28,31,0,5.66,clear sky,0.0,0
94,Punta Arenas,CL,-53.15,-70.92,39.2,80,75,20.8,broken clouds,0.0,0
95,Celestun,MX,20.87,-90.4,85.64,65,9,10.51,clear sky,0.0,0
96,Puerto Ayora,EC,-0.74,-90.35,69.01,88,75,3.0,broken clouds,0.0,0
97,Saint George,US,37.1,-113.58,106.0,15,1,3.36,clear sky,0.0,0
98,Butaritari,KI,3.07,172.79,83.39,77,59,15.99,broken clouds,0.0,0
99,Muros,ES,42.78,-9.06,80.01,53,20,8.05,few clouds,0.0,0
100,Campos Sales,BR,-7.07,-40.38,80.29,51,51,10.22,broken clouds,0.0,0
101,Saskylakh,RU,71.92,114.08,59.36,71,87,18.12,overcast clouds,0.0,0
102,Liverpool,GB,53.41,-2.98,64.99,59,14,6.93,few clouds,0.0,0
103,Georgetown,MY,5.41,100.34,80.6,94,40,3.67,scattered clouds,0.0,0
104,Viesca,MX,25.35,-102.8,95.0,24,20,8.05,few clouds,0.0,0
105,Ambalavao,MG,-21.83,46.93,56.66,88,21,2.24,few clouds,0.0,0
106,Zhigansk,RU,66.77,123.37,62.42,68,46,2.68,scattered clouds,0.0,0
107,Kavaratti,IN,10.57,72.64,82.81,77,90,11.63,light rain,0.82,0
108,Salina Cruz,MX,16.17,-95.2,92.41,54,25,10.65,scattered clouds,0.0,0
109,Mandalgovi,MN,45.76,106.27,64.24,62,35,1.83,scattered clouds,0.0,0
110,Norsup,VU,-16.07,167.38,78.8,83,75,8.05,broken clouds,0.0,0
111,Nemuro,JP,43.32,145.57,54.45,92,82,8.68,broken clouds,0.0,0
112,Shaunavon,CA,49.65,-108.42,77.49,33,38,14.83,scattered clouds,0.0,0
113,Xining,CN,36.62,101.77,54.48,71,100,2.57,overcast clouds,0.0,0
114,Oussouye,SN,12.48,-16.55,80.6,88,40,11.41,scattered clouds,0.0,0
115,Egvekinot,RU,66.32,-179.17,55.96,48,26,3.85,scattered clouds,0.0,0
116,Hobart,AU,-42.88,147.33,41.0,93,90,5.82,overcast clouds,0.0,0
117,Nuuk,GL,64.18,-51.72,51.01,66,0,5.01,clear sky,0.0,0
118,Norman Wells,CA,65.28,-126.83,59.0,82,75,8.05,broken clouds,0.0,0
119,Albany,US,42.6,-73.97,88.0,41,4,1.01,clear sky,0.0,0
120,Uturoa,PF,-16.73,-151.43,79.99,72,100,16.93,overcast clouds,0.0,0
121,Yaring,TH,6.87,101.37,79.52,81,100,7.36,overcast clouds,0.0,0
122,Broome,US,42.25,-75.83,84.99,42,75,8.05,broken clouds,0.0,0
123,Touros,BR,-5.2,-35.46,80.6,61,20,10.29,few clouds,0.0,0
124,Souillac,MU,-20.52,57.52,71.6,68,40,13.87,scattered clouds,0.0,0
125,Kavieng,PG,-2.57,150.8,81.75,72,100,2.66,overcast clouds,0.0,0
126,Mahebourg,MU,-20.41,57.7,71.6,68,40,13.87,scattered clouds,0.0,0
127,La Ronge,CA,55.1,-105.28,73.4,53,90,10.29,overcast clouds,0.0,0
128,Vasilati,RO,44.29,26.45,75.99,77,40,8.05,light intensity shower rain,0.0,0
