City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,0,Kodiak,US,57.79,-152.41,62.6,59,1,5.82,clear sky,0.0,0
1,1,Cape Town,ZA,-33.93,18.42,55.0,81,75,5.82,broken clouds,0.0,0
2,2,Bengkulu,ID,-3.8,102.27,75.34,86,100,4.16,overcast clouds,0.0,0
3,3,Punta Arenas,CL,-53.15,-70.92,33.8,86,75,9.17,broken clouds,0.0,0
4,4,Sao Lourenco Do Sul,BR,-31.37,-51.98,59.0,72,0,12.75,clear sky,0.0,0
5,5,Puerto Ayora,EC,-0.74,-90.35,72.0,86,100,4.0,overcast clouds,0.0,0
6,6,Ushuaia,AR,-54.8,-68.3,33.8,74,40,5.82,scattered clouds,0.0,0
7,7,Berlevag,NO,70.86,29.09,46.4,87,75,10.29,broken clouds,0.0,0
8,8,Monforte De Lemos,ES,42.52,-7.51,61.0,77,0,11.01,clear sky,0.0,0
9,9,Rikitea,PF,-23.12,-134.97,67.51,66,79,19.06,broken clouds,0.0,0
10,10,Chinsali,ZM,-10.54,32.08,59.36,86,12,4.83,few clouds,0.0,0
11,11,Souillac,MU,-20.52,57.52,69.8,64,75,18.34,shower rain,0.0,0
12,12,Egvekinot,RU,66.32,-179.17,53.69,85,99,1.92,overcast clouds,0.0,0
13,13,Barrow,US,71.29,-156.79,35.6,80,40,5.82,scattered clouds,0.0,0
14,14,Lumby,CA,50.25,-118.97,77.0,46,0,1.01,clear sky,0.0,0
15,15,Baleshwar,IN,21.49,86.93,82.81,82,100,11.03,overcast clouds,0.0,0
16,16,Goderich,CA,43.75,-81.72,82.0,80,100,2.17,moderate rain,1.55,0
17,17,Hilo,US,19.73,-155.09,80.6,65,90,5.82,overcast clouds,0.0,0
18,18,Dikson,RU,73.51,80.55,43.41,80,81,15.84,broken clouds,0.0,0
19,19,Katsuura,JP,35.13,140.3,80.01,93,100,5.99,overcast clouds,0.0,0
20,20,Albany,US,42.6,-73.97,82.99,76,100,7.58,light rain,0.25,0
21,21,Svetlogorsk,BY,52.63,29.73,64.51,95,86,9.31,light rain,0.4,0
22,22,Mataura,NZ,-46.19,168.86,42.44,91,99,5.19,overcast clouds,0.0,0
23,23,Atuona,PF,-9.8,-139.03,79.7,78,97,18.95,light rain,0.12,0
24,24,Mahebourg,MU,-20.41,57.7,69.8,64,75,18.34,shower rain,0.0,0
25,25,Saint-Philippe,RE,-21.36,55.77,68.0,68,61,9.17,broken clouds,0.0,0
26,26,Nishihara,JP,26.18,127.76,82.4,94,20,9.17,few clouds,0.0,0
27,27,Rio Pardo,BR,-29.99,-52.38,53.31,88,0,3.04,clear sky,0.0,0
28,28,Chokurdakh,RU,70.63,147.92,52.39,58,0,9.95,clear sky,0.0,0
29,29,Husavik,IS,66.04,-17.34,53.6,71,75,10.29,broken clouds,0.0,0
30,30,Norman Wells,CA,65.28,-126.83,48.2,93,90,12.75,light rain,0.0,0
31,31,Tazovskiy,RU,67.47,78.7,51.87,78,0,11.56,clear sky,0.0,0
32,32,Busselton,AU,-33.65,115.33,41.0,80,0,11.01,clear sky,0.0,0
33,33,Port Alfred,ZA,-33.59,26.89,61.0,77,54,4.0,broken clouds,0.0,0
34,34,Vila Do Maio,CV,15.13,-23.22,82.4,74,75,4.7,broken clouds,0.0,0
35,35,Dunedin,NZ,-45.87,170.5,44.01,60,35,1.99,scattered clouds,0.0,0
36,36,Kapaa,US,22.08,-159.32,82.99,74,20,13.87,few clouds,0.0,0
37,37,Arona,ES,28.1,-16.68,73.99,73,20,16.11,few clouds,0.0,0
38,38,Pangnirtung,CA,66.15,-65.71,48.2,81,75,13.87,broken clouds,0.0,0
39,39,Kailua,US,21.4,-157.74,84.2,58,40,12.75,scattered clouds,0.0,0
40,40,Pangkalanbuun,ID,-2.68,111.62,72.84,98,100,2.17,light rain,0.19,0
41,41,Krasnoselkup,RU,65.7,82.47,55.74,72,0,11.52,clear sky,0.0,0
42,42,Filingue,NE,14.35,3.32,89.82,45,80,11.48,light rain,0.87,0
43,43,Khatanga,RU,71.97,102.5,53.24,86,98,20.69,light rain,0.4,0
44,44,Strezhevoy,RU,60.73,77.59,62.6,77,19,4.47,few clouds,0.0,0
45,45,Avarua,CK,-21.21,-159.78,77.0,78,44,5.82,scattered clouds,0.0,0
46,46,Thompson,CA,55.74,-97.86,68.0,56,75,6.93,broken clouds,0.0,0
47,47,Bethel,US,41.37,-73.41,75.0,94,90,13.87,moderate rain,2.54,0
48,48,Kapoeta,SS,4.77,33.59,78.39,53,63,3.74,broken clouds,0.0,0
49,49,Tasiilaq,GL,65.61,-37.64,42.8,81,0,11.41,clear sky,0.0,0
50,50,Nabire,ID,-3.37,135.48,74.35,88,6,3.6,clear sky,0.0,0
51,51,Carnarvon,AU,-24.87,113.63,51.8,53,0,8.05,clear sky,0.0,0
52,52,Ambon,ID,-3.7,128.18,79.0,14,79,1.01,light rain,0.32,0
53,53,Lavrentiya,RU,65.58,-171.0,50.34,76,100,1.77,overcast clouds,0.0,0
54,54,College,US,64.86,-147.8,66.0,39,40,9.17,scattered clouds,0.0,0
55,55,New Norfolk,AU,-42.78,147.06,39.0,92,100,2.53,overcast clouds,0.0,0
56,56,Casper,US,42.87,-106.31,96.8,6,1,24.16,light rain,0.0,0
57,57,Icatu,BR,-2.78,-44.07,84.2,70,40,16.11,scattered clouds,0.0,0
58,58,Teya,RU,60.38,92.63,51.12,93,100,2.51,moderate rain,2.14,0
59,59,Bingol,TR,38.88,40.49,66.56,52,25,7.92,scattered clouds,0.0,0
60,60,Ponta Do Sol,PT,32.67,-17.1,72.0,72,3,6.51,clear sky,0.0,0
61,61,Rawson,AR,-43.3,-65.1,42.96,60,0,16.87,clear sky,0.0,0
62,62,Bredasdorp,ZA,-34.53,20.04,50.0,87,57,11.41,broken clouds,0.0,0
