City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Arys,KZ,42.43,68.8,80.6,36,0,6.71,clear sky,0.0,0
1,Norman Wells,CA,65.28,-126.83,55.4,82,75,8.05,broken clouds,0.0,0
2,Novoagansk,RU,61.94,76.66,62.58,88,100,4.45,moderate rain,1.25,0
3,Albany,US,42.6,-73.97,90.0,70,84,3.0,moderate rain,1.05,0
4,Cape Town,ZA,-33.93,18.42,53.01,76,40,9.17,scattered clouds,0.0,0
5,Kankon,IN,15.02,74.02,80.24,82,100,2.64,light rain,0.43,0
6,Acapulco,MX,16.86,-99.89,84.2,83,90,5.82,overcast clouds,0.0,0
7,Ndele,CF,8.41,20.65,70.07,96,100,3.0,overcast clouds,0.0,0
8,Cayenne,GF,4.93,-52.33,87.8,55,6,12.75,light rain,0.51,0
9,Mataura,NZ,-46.19,168.86,44.71,93,100,4.59,light rain,0.43,0
10,Bluff,NZ,-46.6,168.33,50.59,78,100,21.09,overcast clouds,0.0,0
11,Pacific Grove,US,36.62,-121.92,62.6,72,1,6.93,clear sky,0.0,0
12,Harlingen,US,26.19,-97.7,96.8,47,1,16.11,clear sky,0.0,0
13,Busselton,AU,-33.65,115.33,46.0,72,0,14.41,clear sky,0.0,0
14,Terney,RU,45.05,136.61,57.45,88,62,5.3,broken clouds,0.0,0
15,Ancud,CL,-41.87,-73.82,48.0,80,75,9.17,broken clouds,0.0,0
16,Bowen,AU,-20.02,148.23,64.99,93,75,5.35,broken clouds,0.0,0
17,Rikitea,PF,-23.12,-134.97,68.9,68,41,17.72,scattered clouds,0.0,0
18,Vostochnyy,RU,55.82,37.87,73.4,82,40,15.66,light intensity shower rain,0.0,0
19,Aloleng,PH,16.13,119.78,82.2,76,76,1.83,broken clouds,0.0,0
20,Upernavik,GL,72.79,-56.15,41.86,82,4,4.9,clear sky,0.0,0
21,Geraldton,AU,-28.77,114.6,48.2,39,0,13.87,clear sky,0.0,0
22,Punta Arenas,CL,-53.15,-70.92,37.4,69,75,13.87,broken clouds,0.0,0
23,Bonthe,SL,7.53,-12.51,75.76,89,100,9.06,moderate rain,1.04,0
24,Usakos,NA,-22.0,15.6,50.81,44,0,1.5,clear sky,0.0,0
25,Khatanga,RU,71.97,102.5,52.52,92,96,11.95,overcast clouds,0.0,0
26,Sao Filipe,CV,14.9,-24.5,75.06,81,39,7.65,scattered clouds,0.0,0
27,Yulara,AU,-25.24,130.99,37.4,64,0,9.17,clear sky,0.0,0
28,Atuona,PF,-9.8,-139.03,79.16,79,11,18.43,light rain,0.17,0
29,Port Alfred,ZA,-33.59,26.89,51.01,96,100,4.0,light rain,0.55,0
30,Tasiilaq,GL,65.61,-37.64,38.8,80,27,6.31,scattered clouds,0.0,0
31,Koslan,RU,63.46,48.9,58.12,89,100,5.26,light rain,0.71,0
32,Hofn,IS,64.25,-15.21,49.78,82,2,4.83,clear sky,0.0,0
33,Linxia,CN,35.6,103.21,51.67,78,0,3.87,clear sky,0.0,0
34,Avarua,CK,-21.21,-159.78,73.4,83,100,2.24,light rain,0.63,0
35,Duldurga,RU,50.68,113.59,59.38,92,99,4.85,light rain,0.42,0
36,Oktyabrskoye,RU,43.06,44.74,73.4,69,99,4.47,overcast clouds,0.0,0
37,Nouadhibou,MR,20.93,-17.03,75.2,69,0,20.8,sand,0.0,0
38,Faanui,PF,-16.48,-151.75,78.13,77,100,20.62,overcast clouds,0.0,0
39,Saskylakh,RU,71.92,114.08,62.98,86,1,8.05,clear sky,0.0,0
40,Tuatapere,NZ,-46.13,167.68,46.27,84,95,6.35,overcast clouds,0.0,0
41,Neiafu,TO,-18.65,-173.98,75.2,94,40,10.29,scattered clouds,0.0,0
42,Vila Velha,BR,-20.33,-40.29,78.01,61,0,9.17,clear sky,0.0,0
43,Severo-Kurilsk,RU,50.68,156.12,50.68,92,100,2.95,light rain,0.5,0
44,Vila Franca Do Campo,PT,37.72,-25.43,71.6,64,75,6.93,broken clouds,0.0,0
45,Poum,NC,-20.23,164.02,69.64,76,0,11.9,clear sky,0.0,0
46,Qui Nhon,VN,13.77,109.23,79.86,82,100,3.8,overcast clouds,0.0,0
47,Iqaluit,CA,63.75,-68.51,41.0,93,75,4.7,broken clouds,0.0,0
48,Vaini,TO,-21.2,-175.2,71.6,83,75,10.29,broken clouds,0.0,0
49,Nikolskoye,RU,59.7,30.79,62.01,67,75,13.42,broken clouds,0.0,0
50,Tocopilla,CL,-22.09,-70.2,65.55,53,21,7.56,few clouds,0.0,0
51,Esperance,AU,-33.87,121.9,44.6,87,0,6.93,clear sky,0.0,0
52,Guipavas,FR,48.44,-4.4,66.2,59,0,11.41,clear sky,0.0,0
53,Tibacuy,CO,4.35,-72.46,85.46,66,60,0.94,light rain,0.3,0
54,Sola,VU,-13.88,167.55,79.57,83,87,25.97,light rain,0.88,0
55,Ushuaia,AR,-54.8,-68.3,35.6,69,20,9.17,few clouds,0.0,0
56,Hobart,AU,-42.88,147.33,46.0,93,90,2.48,overcast clouds,0.0,0
57,Ribeira Grande,PT,38.52,-28.7,73.4,78,40,6.93,scattered clouds,0.0,0
58,Chuy,UY,-33.7,-53.46,52.02,55,0,5.14,clear sky,0.0,0
59,Yellowknife,CA,62.46,-114.35,72.0,60,75,10.29,broken clouds,0.0,0
60,Salamanca,ES,40.83,-6.0,89.01,30,39,3.0,scattered clouds,0.0,0
61,Butaritari,KI,3.07,172.79,83.61,77,96,13.06,overcast clouds,0.0,0
62,Sayyan,YE,15.17,44.32,71.58,41,98,3.33,overcast clouds,0.0,0
63,New Norfolk,AU,-42.78,147.06,45.0,91,85,1.48,overcast clouds,0.0,0
64,Kruisfontein,ZA,-34.0,24.73,47.07,68,0,10.74,clear sky,0.0,0
65,Dikson,RU,73.51,80.55,42.75,87,100,12.5,overcast clouds,0.0,0
66,Dagana,MR,16.52,-15.51,98.6,39,40,16.15,scattered clouds,0.0,0
67,Bangkal,PH,6.07,121.07,75.72,90,100,5.84,overcast clouds,0.0,0
68,Lebu,CL,-37.62,-73.65,51.66,79,100,12.84,light rain,0.17,0
69,Pisco,PE,-13.7,-76.22,62.6,77,75,5.82,broken clouds,0.0,0
70,Aykhal,RU,66.0,111.5,60.8,93,75,6.71,broken clouds,0.0,0
71,Cidreira,BR,-30.18,-50.21,58.66,90,100,3.33,overcast clouds,0.0,0
72,Clyde River,CA,70.47,-68.59,57.2,58,20,3.36,few clouds,0.0,0
73,Kangaatsiaq,GL,68.31,-53.46,44.8,78,100,8.79,overcast clouds,0.0,0
