City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2020-07-08 20:05:52,-34.42,19.23,61.0,46,87,4.0
1,Hilo,US,2020-07-08 20:06:36,19.73,-155.09,77.0,83,90,6.93
2,Roma,US,2020-07-08 20:08:12,43.21,-75.46,91.4,49,75,9.17
3,Arman,RU,2020-07-08 20:08:13,59.7,150.17,50.81,95,100,8.03
4,Ushuaia,AR,2020-07-08 20:08:13,-54.8,-68.3,42.8,75,40,10.29
5,Rikitea,PF,2020-07-08 20:05:45,-23.12,-134.97,66.99,64,5,19.35
6,Smiltene,LV,2020-07-08 20:08:13,57.42,25.9,51.01,95,91,4.83
7,Christchurch,NZ,2020-07-08 20:03:37,-43.53,172.63,39.99,93,100,13.87
8,Georgetown,MY,2020-07-08 20:03:59,5.41,100.34,78.8,88,20,4.7
9,Campoverde,PE,2020-07-08 20:08:13,-8.48,-74.81,87.8,62,75,8.05
10,Mareeba,AU,2020-07-08 20:08:13,-17.0,145.43,68.0,82,58,10.29
11,Barrow,US,2020-07-08 20:06:26,71.29,-156.79,42.8,75,1,16.11
12,Bengkulu,ID,2020-07-08 20:05:59,-3.8,102.27,74.43,90,78,4.38
13,Corsicana,US,2020-07-08 20:03:45,32.1,-96.47,91.99,59,20,10.29
14,Mahebourg,MU,2020-07-08 20:08:14,-20.41,57.7,71.6,56,40,11.41
15,Castro,BR,2020-07-08 20:08:14,-24.79,-50.01,58.28,94,100,7.29
16,Albany,US,2020-07-08 20:05:02,42.6,-73.97,84.0,55,26,1.99
17,Yangzhou,CN,2020-07-08 20:08:14,32.4,119.44,75.0,92,100,7.85
18,Umm Kaddadah,SD,2020-07-08 20:08:14,13.6,26.69,83.25,51,98,10.54
19,Nurota,UZ,2020-07-08 20:08:14,40.56,65.69,77.0,23,0,6.93
20,Volax,GR,2020-07-08 20:08:15,41.32,24.0,75.99,72,2,1.01
21,Kokopo,PG,2020-07-08 20:08:15,-4.35,152.26,77.34,86,66,8.66
22,Port Blair,IN,2020-07-08 20:08:15,11.67,92.75,80.31,78,96,4.21
23,Butaritari,KI,2020-07-08 20:06:14,3.07,172.79,83.19,76,1,17.58
24,Lakes Entrance,AU,2020-07-08 20:06:26,-37.88,147.98,34.0,97,0,4.38
25,Bolobo,CD,2020-07-08 20:07:04,-2.17,16.23,78.8,48,0,2.48
26,Caravelas,BR,2020-07-08 20:05:35,-17.71,-39.25,73.35,72,0,4.05
27,Labuhan,ID,2020-07-08 20:08:15,-6.88,112.21,75.6,86,41,8.99
28,Tuatapere,NZ,2020-07-08 20:06:54,-46.13,167.68,39.0,83,91,3.0
29,Hobart,AU,2020-07-08 20:07:36,-42.88,147.33,37.4,86,6,8.05
30,Tancitaro,MX,2020-07-08 20:08:16,19.33,-102.37,64.4,93,90,6.93
31,Atuona,PF,2020-07-08 20:05:46,-9.8,-139.03,79.65,75,2,13.27
32,Sitka,US,2020-07-08 20:06:50,57.05,-135.33,57.2,76,75,3.36
33,Acapulco,MX,2020-07-08 20:04:45,16.86,-99.89,84.2,70,90,8.05
34,Buraydah,SA,2020-07-08 20:08:16,26.33,43.98,93.2,18,0,6.93
35,San Carlos De Bariloche,AR,2020-07-08 20:03:24,-41.15,-71.31,35.6,80,40,23.04
36,Makakilo City,US,2020-07-08 20:08:17,21.35,-158.09,84.0,54,1,8.05
37,Ciudad Bolivar,VE,2020-07-08 20:08:17,8.12,-63.55,88.45,57,53,12.1
38,Tiksi,RU,2020-07-08 20:08:17,71.69,128.87,34.92,96,100,6.76
39,Qaanaaq,GL,2020-07-08 20:08:17,77.48,-69.36,46.27,56,0,1.05
40,Mataura,NZ,2020-07-08 20:08:17,-46.19,168.86,39.0,83,86,3.0
41,Yellowknife,CA,2020-07-08 20:08:18,62.46,-114.35,63.0,51,75,2.24
42,Lagoa,PT,2020-07-08 20:05:47,39.05,-27.98,68.94,81,93,8.01
43,Darnah,LY,2020-07-08 20:08:18,32.77,22.64,76.21,87,17,16.53
44,Punta Arenas,CL,2020-07-08 20:05:41,-53.15,-70.92,32.0,86,75,4.83
45,Ixtapa,MX,2020-07-08 20:08:18,20.7,-105.2,89.01,66,75,10.29
46,Sao Felix Do Xingu,BR,2020-07-08 20:08:18,-6.64,-51.99,87.75,49,77,1.9
47,Tuktoyaktuk,CA,2020-07-08 20:08:18,69.45,-133.04,37.4,93,90,5.82
48,Vila,PT,2020-07-08 20:08:18,42.03,-8.16,78.01,67,10,8.99
49,Hofn,IS,2020-07-08 20:08:19,64.25,-15.21,55.4,82,40,1.12
50,Cayenne,GF,2020-07-08 20:08:19,4.93,-52.33,87.8,62,96,8.05
51,Beatrice,US,2020-07-08 20:08:19,40.27,-96.75,91.4,52,40,13.87
52,Busselton,AU,2020-07-08 20:08:19,-33.65,115.33,43.0,88,86,6.53
53,Saint-Philippe,RE,2020-07-08 20:08:19,-21.36,55.77,69.8,64,59,9.17
54,Hurghada,EG,2020-07-08 20:04:51,27.26,33.81,91.4,29,0,2.24
55,Biak,ID,2020-07-08 20:08:19,-0.91,122.88,76.64,84,91,5.53
56,Carnarvon,AU,2020-07-08 20:08:20,-24.87,113.63,57.2,71,0,13.87
57,Sawakin,SD,2020-07-08 20:08:20,19.11,37.33,88.47,46,0,6.04
58,Atyrau,KZ,2020-07-08 20:08:20,47.12,51.88,87.87,26,0,10.63
59,Santa Ines,BR,2020-07-08 20:08:20,-3.67,-45.38,83.52,70,2,3.38
60,Nikolskoye,RU,2020-07-08 20:06:00,59.7,30.79,60.8,67,75,6.71
61,Emerald,AU,2020-07-08 20:08:20,-23.53,148.17,51.8,87,40,5.82
62,Rundu,NA,2020-07-08 20:08:20,-17.93,19.77,66.2,32,0,6.93
63,Doha,QA,2020-07-08 20:07:34,25.29,51.53,95.0,79,0,4.7
64,Fortuna,US,2020-07-08 20:06:25,40.6,-124.16,64.99,77,1,16.11
65,Souillac,MU,2020-07-08 20:08:21,-20.52,57.52,71.6,56,40,11.41
66,Faya,SA,2020-07-08 20:05:51,18.39,42.45,71.6,60,100,4.5
67,Vaini,TO,2020-07-08 20:06:00,-21.2,-175.2,71.6,94,75,4.7
68,Bathsheba,BB,2020-07-08 20:08:21,13.22,-59.52,87.8,62,75,20.8
69,Cap Malheureux,MU,2020-07-08 20:08:21,-19.98,57.61,68.0,73,4,5.99
70,Saint George,US,2020-07-08 20:05:51,37.1,-113.58,99.0,7,1,5.82
71,Thai Nguyen,VN,2020-07-08 20:08:22,21.59,105.84,86.0,74,100,8.05
72,Bambous Virieux,MU,2020-07-08 20:08:22,-20.34,57.76,71.6,56,40,11.41
73,Columbus,US,2020-07-08 20:06:23,39.96,-83.0,93.99,49,20,5.82
74,Luderitz,NA,2020-07-08 20:06:51,-26.65,15.16,59.0,67,0,2.24
75,Port Alfred,ZA,2020-07-08 20:06:34,-33.59,26.89,67.82,41,0,14.36
76,Port Lincoln,AU,2020-07-08 20:06:02,-34.73,135.87,49.71,54,0,14.65
77,Alpena,US,2020-07-08 20:05:49,45.06,-83.43,89.6,43,1,6.93
78,Upernavik,GL,2020-07-08 20:05:54,72.79,-56.15,42.8,69,26,11.3
79,Saldanha,ZA,2020-07-08 20:08:22,-33.01,17.94,55.4,66,50,1.12
80,Severobaykalsk,RU,2020-07-08 20:08:23,55.65,109.32,53.73,91,94,2.37
81,Taian,CN,2020-07-08 20:08:23,36.19,117.12,84.0,49,100,4.63
82,Bronnoysund,NO,2020-07-08 20:08:23,65.46,12.2,50.0,87,40,10.29
83,Bluff,NZ,2020-07-08 20:05:54,-46.6,168.33,39.0,83,90,3.0
84,Tommot,RU,2020-07-08 20:05:53,58.96,126.29,53.82,89,60,2.93
85,Konevo,RU,2020-07-08 20:08:23,62.12,39.32,57.45,97,94,4.94
86,Cidreira,BR,2020-07-08 20:05:56,-30.18,-50.21,58.26,86,81,21.65
87,Hithadhoo,MV,2020-07-08 20:06:05,-0.6,73.08,84.97,68,0,4.23
88,Puerto Ayora,EC,2020-07-08 20:06:04,-0.74,-90.35,71.01,89,88,5.01
89,New Norfolk,AU,2020-07-08 20:06:37,-42.78,147.06,35.01,92,23,2.62
90,Alegrete,BR,2020-07-08 20:08:24,-29.78,-55.79,52.47,82,90,4.79
91,Matara,LK,2020-07-08 20:08:24,5.95,80.54,79.7,88,100,10.0
92,Thompson,CA,2020-07-08 20:05:57,55.74,-97.86,78.8,36,75,5.82
93,Jamestown,US,2020-07-08 20:04:49,42.1,-79.24,84.2,54,1,5.82
94,Bol,TD,2020-07-08 20:08:25,13.46,14.71,84.74,63,0,1.79
95,Handia,IN,2020-07-08 20:08:25,25.38,82.18,88.93,66,55,4.32
96,Shubarshi,KZ,2020-07-08 20:08:25,48.59,57.19,73.22,59,91,15.37
97,Trincomalee,LK,2020-07-08 20:08:25,8.57,81.23,80.73,83,100,10.02
98,Hualmay,PE,2020-07-08 20:08:25,-11.1,-77.61,66.52,69,12,11.79
99,Hamilton,US,2020-07-08 20:08:25,39.18,-84.53,93.99,55,40,5.82
100,Mackay,AU,2020-07-08 20:08:26,-21.15,149.2,66.2,93,75,12.75
101,Huilong,CN,2020-07-08 20:08:26,31.81,121.66,80.01,98,92,1.01
102,Sao Miguel Do Araguaia,BR,2020-07-08 20:08:26,-13.28,-50.16,85.55,34,0,2.73
103,Bredasdorp,ZA,2020-07-08 20:08:26,-34.53,20.04,48.2,81,100,3.36
104,Kawalu,ID,2020-07-08 20:08:26,-7.38,108.21,71.02,92,96,1.32
105,Natal,BR,2020-07-08 20:08:26,-5.79,-35.21,82.4,65,0,13.87
106,Tessalit,ML,2020-07-08 20:08:26,20.2,1.01,93.36,10,0,5.53
107,Kaz,RU,2020-07-08 20:08:26,52.91,87.31,55.58,93,46,1.99
108,Miandrivazo,MG,2020-07-08 20:08:27,-19.52,45.47,74.59,40,0,3.2
109,Provideniya,RU,2020-07-08 20:08:27,64.38,-173.3,42.8,93,90,4.47
110,Lorengau,PG,2020-07-08 20:05:57,-2.02,147.27,81.73,81,93,12.46
111,Arraial Do Cabo,BR,2020-07-08 20:05:52,-22.97,-42.03,82.4,61,0,20.8
112,Lebu,CL,2020-07-08 20:08:27,-37.62,-73.65,50.34,74,100,10.11
113,Walvis Bay,NA,2020-07-08 20:08:27,-22.96,14.51,54.0,93,0,1.12
114,Ribeira Grande,PT,2020-07-08 20:08:27,38.52,-28.7,69.8,77,75,9.17
115,Cape Town,ZA,2020-07-08 20:05:06,-33.93,18.42,55.4,82,82,2.24
116,Coquimbo,CL,2020-07-08 20:08:27,-29.95,-71.34,60.8,63,0,12.75
117,Khatanga,RU,2020-07-08 20:08:28,71.97,102.5,59.04,57,3,16.31
118,Taoudenni,ML,2020-07-08 20:08:28,22.68,-3.98,99.97,8,0,12.55
119,Sabang,ID,2020-07-08 20:08:28,5.89,95.32,82.94,66,26,6.78
120,Mujiayingzi,CN,2020-07-08 20:08:28,42.12,118.78,64.78,66,8,4.41
121,Piranhas,BR,2020-07-08 20:08:28,-16.43,-51.82,86.25,29,29,5.57
122,Kieta,PG,2020-07-08 20:08:28,-6.22,155.63,78.46,78,65,3.87
123,Jalu,LY,2020-07-08 20:08:28,29.03,21.55,81.48,53,1,17.92
124,Severo-Yeniseyskiy,RU,2020-07-08 20:08:29,60.37,93.04,49.62,98,23,6.87
125,Coihaique,CL,2020-07-08 20:05:59,-45.58,-72.07,41.0,65,75,3.36
126,Shahr-E Kord,IR,2020-07-08 20:08:29,32.33,50.86,73.4,23,40,9.17
127,Kapaa,US,2020-07-08 20:08:29,22.08,-159.32,80.6,69,40,16.11
128,Marystown,CA,2020-07-08 20:08:29,47.17,-55.15,61.36,73,16,7.74
129,Olinda,BR,2020-07-08 20:08:29,-8.01,-34.86,80.6,78,20,10.29
130,Jacareacanga,BR,2020-07-08 20:08:30,-6.22,-57.75,89.73,45,37,4.0
131,Faanui,PF,2020-07-08 20:08:30,-16.48,-151.75,76.53,80,58,29.48
132,Maraba,BR,2020-07-08 20:08:30,-5.37,-49.12,93.2,41,40,3.36
133,Kologriv,RU,2020-07-08 20:08:30,58.83,44.32,76.55,75,0,8.77
134,Iskateley,RU,2020-07-08 20:08:30,67.68,53.15,63.73,91,97,7.14
135,Victoria,HK,2020-07-08 20:06:28,22.29,114.16,86.0,74,100,17.0
136,Tumen,CN,2020-07-08 20:08:30,42.97,129.84,57.69,82,54,2.17
137,Longyearbyen,SJ,2020-07-08 20:06:16,78.22,15.64,44.6,81,75,5.82
138,Eshowe,ZA,2020-07-08 20:08:31,-28.89,31.47,53.96,86,0,9.93
139,Yambio,SS,2020-07-08 20:08:31,4.57,28.4,67.95,94,44,2.46
140,Cururupu,BR,2020-07-08 20:08:31,-1.83,-44.87,82.78,68,5,4.32
141,Tasiilaq,GL,2020-07-08 20:08:31,65.61,-37.64,46.4,61,20,16.11
142,Severo-Kurilsk,RU,2020-07-08 20:08:31,50.68,156.12,47.77,92,100,15.37
143,Khandyga,RU,2020-07-08 20:08:31,62.67,135.6,56.61,87,78,2.66
144,Fairbanks,US,2020-07-08 20:08:31,64.84,-147.72,57.99,76,90,5.82
145,Chokurdakh,RU,2020-07-08 20:06:17,70.63,147.92,44.64,81,94,9.04
146,Dingle,PH,2020-07-08 20:08:32,11.0,122.67,77.34,84,100,3.0
147,Bolgatanga,GH,2020-07-08 20:08:32,10.79,-0.85,82.53,71,36,5.48
148,Port Elizabeth,ZA,2020-07-08 20:05:59,-33.92,25.57,59.0,82,0,10.29
149,Vila Do Maio,CV,2020-07-08 20:08:32,15.13,-23.22,82.4,78,75,8.05
150,Koubia,GN,2020-07-08 20:08:32,11.58,-11.9,73.36,94,80,3.91
151,Sambava,MG,2020-07-08 20:06:58,-14.27,50.17,72.37,88,11,11.83
152,Bethel,US,2020-07-08 20:05:21,41.37,-73.41,77.0,88,90,10.29
153,Lompoc,US,2020-07-08 20:08:33,34.64,-120.46,64.99,72,8,11.41
154,Codrington,AU,2020-07-08 20:07:14,-38.27,141.97,40.35,92,0,7.96
155,Salalah,OM,2020-07-08 20:05:53,17.02,54.09,82.4,88,75,5.82
156,Zheleznodorozhnyy,RU,2020-07-08 20:08:33,55.75,38.0,66.2,88,75,11.18
